time_s,run_id,update,avg_rew,vf_q10,vf_q50,vf_q90,upright_mean,height_mean,done_rate,fallen_rate,timeout_rate,tau_mean,ar_mean,pg_loss,v_loss,entropy,approx_kl,clipfrac,explained_var,ep_timeout_rate,ep_dist_mean,ep_ret_mean,score,best_score,sps
22.456,0,10,1.307352,-0.000523,0.001842,0.004554,0.999758,0.234208,0.050781,0.050781,0.0,50.234333,4.638227,0.001794,0.291196,11.578784,0.010712,0.147769,0.986748,0.0,0.000371,24.785034,0.0,1.0,0.0,0.0,11673.85
44.315,0,20,1.303772,-0.000791,0.001512,0.00416,0.999796,0.235523,0.050781,0.050781,0.0,51.450138,4.79781,0.001162,0.257511,11.849009,0.009685,0.124102,0.988744,0.0,0.000308,24.746387,0.0,1.0,0.0,0.0,11992.463
66.451,0,30,1.29764,-0.001025,0.001282,0.003751,0.99983,0.233188,0.054688,0.054688,0.0,51.654907,5.014511,0.000715,0.234609,12.122369,0.008079,0.1071,0.989685,0.0,0.000259,24.715225,0.0,1.0,0.0,0.0,11842.277
88.802,0,40,1.298541,-0.001642,0.000906,0.003356,0.999857,0.23252,0.050781,0.050781,0.0,52.398743,5.126715,-0.000571,0.224976,12.322661,0.006643,0.085381,0.989914,0.0,0.00016,24.684141,0.0,1.0,0.0,0.0,11728.271
110.545,0,50,1.302114,-0.002721,0.000254,0.002679,0.999881,0.234562,0.050781,0.050781,0.0,53.432625,5.062094,0.001861,0.168842,12.460582,0.01224,0.164408,0.992137,0.0,2.2e-05,24.678772,0.0,1.0,0.0,0.0,12056.939
132.47,0,60,1.297374,-0.003669,-0.000432,0.002172,0.999877,0.232044,0.054688,0.054688,0.0,53.9529,5.045646,0.000203,0.10502,12.508685,0.008742,0.115711,0.995416,0.0,-0.000122,24.68881,0.0,1.0,-0.0,0.0,11956.381
154.634,0,70,1.304109,-0.004054,-0.000667,0.002091,0.999882,0.234253,0.050781,0.050781,0.0,54.324619,4.816601,0.001599,0.084474,12.336676,0.010783,0.134824,0.997098,0.0,-0.000147,24.720459,0.0,1.0,-0.0,0.0,11827.274
176.486,0,80,1.305491,-0.003591,-0.000193,0.002425,0.999888,0.235608,0.050781,0.050781,0.0,54.127499,4.552605,-0.000286,0.048538,12.034446,0.007824,0.09924,0.997936,0.0,-8.7e-05,24.77877,0.0,1.0,-0.0,0.0,11996.537
198.231,0,90,1.305313,-0.00367,-0.000241,0.002464,0.999872,0.233287,0.054688,0.054688,0.0,53.3535,4.217555,0.000593,0.039614,11.636015,0.008409,0.112519,0.998349,0.0,-9.5e-05,24.8605,0.0,1.0,-0.0,0.0,12055.02
220.403,0,100,1.311652,-0.003952,-0.000519,0.00232,0.999856,0.232615,0.050781,0.050781,0.0,52.57827,3.851145,5e-05,0.037253,11.16118,0.007297,0.096986,0.998322,0.0,-0.00012,24.931799,0.0,1.0,-0.0,0.0,11823.525
